=来龙去脉=,#genre#
03美的守望,https://hls.cntv.myhwcdn.cn/asp/hls/4000/0303000a/3/default/77ef23e95de74399bb8b2ec4b8a29955/4000.m3u8
04造像里的密码,https://hls.cntv.myhwcdn.cn/asp/hls/4000/0303000a/3/default/13b1e72ff7aa4ddbae2329c2cfba825c/4000.m3u8

=黑土地和她的朋友们=,#genre#
01四季家园,https://hls.cntv.myhwcdn.cn/asp/hls/4000/0303000a/3/default/ded7da35ddda4c0988081be3c5575cdd/4000.m3u8
02希望的田野,https://hls.cntv.myhwcdn.cn/asp/hls/4000/0303000a/3/default/2b9c29374f1842769efc2d9af269b9e6/4000.m3u8
03你我皆凡人,https://hls.cntv.myhwcdn.cn/asp/hls/4000/0303000a/3/default/56cd151cadb44f89989075f868398bd2/4000.m3u8

=我们的征途=,#genre#
01,https://hls.cntv.myhwcdn.cn/asp/hls/4000/0303000a/3/default/5d730a77cc5e4a6ca47fc03800d240ad/4000.m3u8
02,https://hls.cntv.myhwcdn.cn/asp/hls/4000/0303000a/3/default/ed4ebde9efd54c0f8088e014ca6acd55/4000.m3u8
03,https://hls.cntv.myhwcdn.cn/asp/hls/4000/0303000a/3/default/f497ad64e58943c9b673aceebe117b7b/4000.m3u8

=跟着唐诗去旅行 第1季=,#genre#
01杜甫 江湖,https://hls.cntv.myhwcdn.cn/asp/hls/4000/0303000a/3/default/cff82c02cd3541e28956979342c9bf79/4000.m3u8
02孟浩然 故人,https://hls.cntv.myhwcdn.cn/asp/hls/4000/0303000a/3/default/cec5926d215f4f16a00b3bf161597058/4000.m3u8
03王维 长安,https://hls.cntv.myhwcdn.cn/asp/hls/4000/0303000a/3/default/7691062fece9433bb37ec39b88eeb51b/4000.m3u8
04岑参 边塞,https://hls.cntv.myhwcdn.cn/asp/hls/4000/0303000a/3/default/82931a3cb9bb46e3a253fdc09d915807/4000.m3u8
05李白 仙山,https://hls.cntv.myhwcdn.cn/asp/hls/4000/0303000a/3/default/f6ef462289c7418a9f7caee564a6518a/4000.m3u8

=跟着唐诗去旅行 第2季=,#genre#
01石鼓歌,https://hls.cntv.myhwcdn.cn/asp/hls/4000/0303000a/3/default/34be2fbbe2c34ac890ddb4ff02b33641/4000.m3u8
02寒江雪,https://hls.cntv.myhwcdn.cn/asp/hls/4000/0303000a/3/default/5d87b1a2e9234c85978e48f2ffeb8a58/4000.m3u8
03出塞曲,https://hls.cntv.myhwcdn.cn/asp/hls/4000/0303000a/3/default/0bba446bb43e47f9b009b4bcb16338b1/4000.m3u8
04琵琶行,https://hls.cntv.myhwcdn.cn/asp/hls/4000/0303000a/3/default/fc0670ed525349f9ba9bb147bc3176d2/4000.m3u8
05双星会,https://hls.cntv.myhwcdn.cn/asp/hls/4000/0303000a/3/default/d638c455bf834cbb851b8bf345b7ee2d/4000.m3u8
06相见难,https://hls.cntv.myhwcdn.cn/asp/hls/4000/0303000a/3/default/bafcbcfd63554c4eb6a63f3b6784bd88/4000.m3u8

=江口明末战场考古大揭秘=,#genre#
01,https://hls.cntv.myhwcdn.cn/asp/hls/4000/0303000a/3/default/d293d62b881746a99e205737caa48007/4000.m3u8
02,https://hls.cntv.myhwcdn.cn/asp/hls/4000/0303000a/3/default/6fc9f72dec484bcca2ffab0bb07397b7/4000.m3u8
03,https://hls.cntv.myhwcdn.cn/asp/hls/4000/0303000a/3/default/46f6951eb642409f8bbeb7678a955e68/4000.m3u8
04,https://hls.cntv.myhwcdn.cn/asp/hls/4000/0303000a/3/default/3f21e38c2ad24480a49aa01c5aa3a80d/4000.m3u8

=文物里的唐代戍边生活=,#genre#
01,https://hls.cntv.myhwcdn.cn/asp/hls/4000/0303000a/3/default/0e61bda0ffe74a6c9799fe0c40721343/4000.m3u8
02,https://hls.cntv.myhwcdn.cn/asp/hls/4000/0303000a/3/default/7c63732d8eb94ca4a86e8791e04deb8b/4000.m3u8

=塞上胡杨=,#genre#
01沙海胡杨,https://hls.cntv.myhwcdn.cn/asp/hls/4000/0303000a/3/default/9074dbc18cb04cfab215aa488fdbe716/4000.m3u8
02丝路胡杨,https://hls.cntv.myhwcdn.cn/asp/hls/4000/0303000a/3/default/b5e1651e9db14966869e7e2c9dde09cb/4000.m3u8
03居延胡杨,https://hls.cntv.myhwcdn.cn/asp/hls/4000/0303000a/3/default/3c82b0834b7149199e4f4525ab329fdf/4000.m3u8

=军工记忆=,#genre#
01铸剑止戈,https://hls.cntv.myhwcdn.cn/asp/hls/4000/0303000a/3/default/e0aea01cc2f44214981edaadfa3d15ec/4000.m3u8
